sf_state,sf_county
AK,matanuska-susitna
AK,northwest arctic
AL,lauderdale
AL,dale
AL,calhoun
AL,madison
AL,chambers
AL,limestone
AL,colbert
AL,russell
AL,montgomery
AL,covington
AR,calhoun
AR,arkansas
AR,washington
AR,saline
AR,johnson
AR,chicot
AR,st. francis
AR,franklin
AR,garland
AR,white
AR,logan
AR,crittenden
AR,jackson
AR,ashley
AR,carroll
AR,lincoln
AR,clay
AR,craighead
AR,greene
AR,howard
AR,mississippi
AR,pulaski
AR,union
AZ,maricopa
AZ,pinal
AZ,yavapai
AZ,mohave
AZ,pima
AZ,yuma
AZ,santa cruz
AZ,apache
AZ,cochise
AZ,la paz
AZ,navajo
CA,fresno
CA,san diego
CA,los angeles
CA,kern
CA,madera
CA,imperial
CA,tulare
CA,kings
CA,san bernardino
CA,sacramento
CA,riverside
CA,yolo
CA,solano
CA,butte
CA,san luis obispo
CA,stanislaus
CA,san joaquin
CA,alameda
CA,tuolumne
CA,san benito
CA,san francisco
CA,monterey
CA,santa barbara
CA,sonoma
CA,contra costa
CA,merced
CA,shasta
CA,sutter
CA,glenn
CA,ventura
CA,humboldt
CA,el dorado
CA,lassen
CA,santa clara
CA,inyo
CA,napa
CA,tehama
CA,marin
CA,orange
CA,santa cruz
CA,san mateo
CA,placer
CO,alamosa
CO,el paso
CO,weld
CO,larimer
CO,las animas
CO,arapahoe
CO,adams
CO,montrose
CO,garfield
CO,denver
CO,boulder
CO,pueblo
CO,logan
CO,mesa
CO,jefferson
CO,conejos
CO,saguache
CO,baca
CO,grand
CO,jackson
CO,morgan
CO,chaffee
CO,rio grande
CO,fremont
CO,crowley
CO,pitkin
CO,montezuma
CO,moffat
CT,new london
CT,hartford
CT,litchfield
CT,middlesex
CT,fairfield
CT,tolland
CT,windham
CT,new haven
DC,district of columbia
DC,northampton
DE,kent
DE,sussex
DE,new castle
FL,orange
FL,brevard
FL,duval
FL,desoto
FL,polk
FL,taylor
FL,charlotte
FL,manatee
FL,escambia
FL,leon
FL,alachua
FL,putnam
FL,indian river
FL,st. lucie
FL,hillsborough
FL,volusia
FL,miami-dade
FL,gilchrist
FL,okaloosa
FL,santa rosa
FL,suwannee
FL,hendry
FL,hamilton
FL,columbia
FL,highlands
FL,osceola
FL,palm beach
FL,martin
FL,baker
FL,nassau
FL,st. johns
FL,okeechobee
FL,clay
FL,union
FL,jackson
FL,pasco
FL,hardee
FL,citrus
FL,collier
FL,bay
FL,levy
FL,calhoun
FL,gadsden
FL,washington
FL,lake
FL,madison
FL,pinellas
FL,seminole
FL,broward
FL,walton
GA,murray
GA,jeff davis
GA,washington
GA,walton
GA,twiggs
GA,decatur
GA,taylor
GA,burke
GA,richmond
GA,jenkins
GA,camden
GA,candler
GA,effingham
GA,glynn
GA,dougherty
GA,early
GA,mitchell
GA,dekalb
GA,upson
GA,lanier
GA,meriwether
GA,jefferson
GA,lowndes
GA,cook
GA,putnam
GA,laurens
GA,colquitt
GA,terrell
GA,columbia
GA,muscogee
GA,thomas
GA,troup
GA,sumter
GA,tattnall
GA,wayne
GA,emanuel
GA,madison
GA,brooks
GA,telfair
GA,bulloch
GA,greene
GA,franklin
GA,bleckley
GA,harris
GA,polk
GA,bibb
GA,stewart
GA,appling
GA,houston
GA,liberty
GA,seminole
GA,peach
GA,ware
GA,clay
GA,elbert
GA,warren
GA,bryan
GA,chatham
GA,fulton
GA,cobb
GA,calhoun
GA,charlton
GA,lee
GA,wilkinson
GA,grady
GA,barrow
GA,douglas
GA,macon
GA,tift
IA,marshall
IA,muscatine
IA,dubuque
IA,clayton
IA,black hawk
IA,davis
IA,winnebago
IA,louisa
IA,story
IA,franklin
IA,woodbury
IA,mitchell
IA,adair
IA,johnson
IA,linn
IL,cook
IL,lasalle
IL,williamson
IL,perry
IL,champaign
IL,mchenry
IL,henderson
IL,macoupin
IL,peoria
IL,will
IL,fayette
IL,clinton
IL,dekalb
IL,vermilion
IL,christian
IL,kankakee
IL,boone
IL,madison
IL,richland
IL,stephenson
IL,morgan
IL,jefferson
IL,jo daviess
IL,mcdonough
IL,whiteside
IL,iroquois
IL,marshall
IL,kane
IL,st. clair
IL,livingston
IL,winnebago
IL,ogle
IL,grundy
IL,henry
IL,franklin
IL,coles
IL,knox
IL,mclean
IL,bureau
IL,white
IL,logan
IL,clay
IL,warren
IL,clark
IN,marion
IN,clay
IN,st. joseph
IN,howard
IN,madison
IN,montgomery
IN,martin
IN,wayne
IN,tipton
IN,lake
IN,dekalb
IN,porter
IN,jasper
IN,miami
IN,perry
IN,grant
IN,henry
IN,greene
IN,spencer
IN,harrison
IN,monroe
IN,elkhart
IN,dubois
IN,daviess
IN,sullivan
IN,hancock
IN,vanderburgh
IN,tippecanoe
IN,hamilton
IN,johnson
IN,cass
IN,clark
IN,lawrence
IN,randolph
IN,scott
IN,vigo
IN,marshall
IN,white
IN,hendricks
IN,whitley
KS,stanton
KS,thomas
KS,wyandotte
KS,butler
KS,pratt
KS,reno
KS,mitchell
KS,riley
KS,wilson
KS,lyon
KS,sedgwick
KS,shawnee
KS,douglas
KY,mercer
KY,clark
KY,grant
KY,kenton
KY,garrard
KY,boone
KY,shelby
KY,metcalfe
KY,simpson
LA,orleans
LA,west baton rouge
LA,st. james
LA,washington
LA,morehouse
MA,essex
MA,worcester
MA,berkshire
MA,plymouth
MA,norfolk
MA,hampshire
MA,hampden
MA,franklin
MA,bristol
