case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac
401476,"River Bend Solar, LLC",2016,AL,Lauderdale,34.833809,-87.838394,75
401807,Lafayette Solar Farm,2017,AL,Chambers,32.872425,-85.390289,79.2
403007,Muscle Shoals,2021,AL,Colbert,34.763344,-87.919693,227
401345,Fort Benning Solar Facility,2015,AL,Russell,32.303879,-84.990349,30
404620,Black Bear Solar 1,2020,AL,Montgomery,32.200626,-86.330238,100
404683,OE_ALD,2020,AL,Covington,31.015305,-86.590851,80
402231,Stuttgart Solar,2018,AR,Arkansas,34.440144,-91.441673,81
403528,Chicot Solar,2020,AR,Chicot,33.475201,-91.357712,100
404572,Searcy Solar Hybrid,2019,AR,White,35.222858,-91.695137,100
405537,Happy Solar 1,2023,AR,White,35.170544,-91.655342,95
405871,"Big Cypress Solar, LLC",2023,AR,Crittenden,35.325874,-90.314941,180
406097,Newport Solar Project,2023,AR,Jackson,35.68988,-91.161003,180
406119,"Crooked Lake Solar, LLC",2024,AR,Mississippi,35.908592,-89.819077,175
401622,"Mesquite Solar 3, LLC",2016,AZ,Maricopa,33.340897,-112.950745,154
400148,Agua Caliente Solar Project,2014,AZ,Yuma,32.975842,-113.494888,290
400939,Avalon Solar,2014,AZ,Pima,32.030869,-110.958588,29
400845,Gila Bend Hybrid,2014,AZ,Maricopa,32.948589,-112.769775,37.1
400226,Avra Valley Solar,2013,AZ,Pima,32.371834,-111.283241,26.5
400250,Mesquite Solar 1,2012,AZ,Maricopa,33.34222,-112.919899,170
400349,Foothills Solar Plant Hybrid,2013,AZ,Yuma,32.6395,-114.431351,37.4
400240,Arlington Valley Solar Energy II,2013,AZ,Maricopa,33.304535,-112.833298,129
401214,Sandstone Solar,2015,AZ,Pinal,33.04158,-111.452179,45
401688,Bonnybrooke PV,2016,AZ,Pinal,33.053898,-111.340988,50
401726,Red Rock,2017,AZ,Pinal,32.553082,-111.283096,40
402236,Gray Hawk Solar,2018,AZ,Mohave,35.349159,-113.914261,46
400758,Red Horse 2,2015,AZ,Cochise,32.257198,-110.1576,55
401664,Sulphur Springs,2016,AZ,Cochise,32.066677,-109.92128,20.5
401609,Red Horse III,2016,AZ,Cochise,32.265812,-110.156288,30
401621,"Mesquite Solar 2, LLC",2016,AZ,Maricopa,33.331272,-112.923386,100.8
401975,"Sun Streams, LLC",2020,AZ,Maricopa,33.355053,-112.836372,158
403572,OE_AZ1,2020,AZ,La Paz,33.77108,-113.654526,32.5
403674,Saint Solar,2021,AZ,Pinal,32.854229,-111.502708,100
402234,Kayenta Solar Project,2019,AZ,Navajo,36.788681,-110.238731,55.3
403643,Sun Streams 2,2021,AZ,Maricopa,33.321621,-112.817566,150
404187,"Wilmot Energy Center, LLC",2021,AZ,Pima,32.034618,-110.891869,130
405029,Solana Generating Station,2013,AZ,Maricopa,32.921631,-112.969841,280
404922,"Mesquite Solar 5, LLC",2022,AZ,Maricopa,33.356663,-112.914085,60
