STATE,GUST_2,GUST_5,MXSPD_2,MXSPD_5,PRCP_2,PRCP_5,MAX_2,MAX_5,MIN_2,MIN_5,TEMP_2,TEMP_5,DEWP_2,DEWP_5
MI,1.4356301988026416e-4,1.7141853120031542e-5,4.113792917069538e-4,1.1410520499900908e-4,4.8735269513576794e-4,1.9971411991388428e-4,2.951309299182094e-6,9.837697663940313e-7,3.1480198954857394e-5,1.8691368129446578e-5,2.9500236493562555e-6,0,3.1639848128728984e-5,1.2429940336286385e-5
TX,6.207583294869822e-4,1.4851188949860676e-4,0.0010569532101086247,3.782674850152679e-4,0.0019642088332534544,8.437378996991679e-4,9.447344987992776e-4,1.6576863100049437e-4,0.0026137335554835897,8.108386660629338e-4,5.848113080442308e-4,1.142285860453673e-4,0.005039359805601395,0.0020961657443809203
MD,2.7790071739555565e-4,4.117047665119343e-5,3.4819547694075456e-4,7.312105015755845e-5,0.0013880397879105963,5.19073050880694e-4,0,0,4.0369935408103347e-4,2.2353600597875407e-4,3.334733921580397e-5,0,6.752477816012147e-4,3.0138177822879074e-4
AK,0.004519995026640829,0.0010613876278593025,0.003620575766801804,0.0011190223110080816,0.0012285402443530024,4.8432327599439774e-4,2.9899899408195564e-5,2.648276804725893e-5,2.7759650962960937e-5,2.391600698347404e-5,2.3448208237142387e-5,2.1316552942856718e-5,1.9003690788232372e-5,1.8098753131649877e-5
FL,5.363143884785892e-4,1.894321463892265e-4,3.6370049643851985e-4,1.3248486761217545e-4,0.003847582234703452,0.0016445537487499802,3.739734428992416e-5,2.3269458669286143e-5,0.001266739202170413,3.889986526350087e-4,2.9912878740667804e-5,9.140046281870718e-6,0.00808249127775944,0.003225365659749211
OK,4.927915343601676e-4,9.633518716815307e-5,4.7778213134810524e-4,1.639252500859608e-4,0.0016699143367122373,5.640108024657225e-4,0.002502999502521533,6.242867036686598e-4,0.0011611120960216324,7.130319247381166e-4,0.001442838478029328,2.2976375223678907e-4,5.599865278603442e-4,2.5970389697871035e-4
GA,2.3304923521801993e-4,7.13416026177612e-5,1.8747299117923688e-4,4.2896362388469456e-5,0.0023971183693052536,8.505317640901128e-4,5.0983675953935474e-5,2.0084478406095795e-5,3.552216814958848e-4,2.378440823928968e-4,3.705659468423149e-5,2.007232212062539e-5,0.003343980834497904,0.001497304851267718
MS,3.8315510815423734e-4,1.0449684767842837e-4,1.9838177154921994e-4,5.101245554122798e-5,0.0041141224505073255,0.0016593731187793002,4.420842059891358e-5,3.591934173661728e-5,0.0019978280873075745,9.201614841956048e-4,8.009257597057013e-5,1.6570877787014508e-5,0.00597273380978237,0.002870434233890495
VA,2.550271256124515e-4,5.796071036646625e-5,2.2974456308740655e-4,5.7060741158963716e-5,0.0015274444759162495,6.238368223594238e-4,1.4756902172068431e-5,8.854141303241059e-6,2.2135712578102174e-4,1.151057054061313e-4,2.360170935379995e-5,1.0325747842287478e-5,0.0011351949693434553,5.322698403975538e-4
AL,2.681786836257758e-4,1.0727147345031033e-4,2.0501461023659156e-4,4.2416815911018946e-5,0.004348065512383382,0.00165891892636052,1.2451387707159962e-5,8.300925138106642e-6,6.891369597436079e-4,2.470099343659317e-4,3.112136502456513e-5,1.2448546009826052e-5,0.0017636817612629978,6.90355432265802e-4
