STNID,CTRY,STATE,NAME,ELEVATION,BEGIN,END,geometry,OFFSHORE
690110-99999,US,MI,SELFRIDGE ANGB/TRAIN,177,19430614,19920507,"c(-82.835, 42.608)",FALSE
690190-13910,US,TX,ABILENE DYESS AFB,545,19431201,19971231,"c(-99.85, 32.433)",FALSE
691174-99999,US,MD,ABERDEEN PVNG GRND,18,19361001,20030816,"c(-76.167, 39.467)",FALSE
722026-12826,US,FL,HOMESTEAD AFB AIRPORT,1.5,19430201,20250501,"c(-80.383, 25.483)",FALSE
722030-12844,US,FL,PALM BEACH INTERNATIONAL AIRPORT,5.8,19430206,20250501,"c(-80.099, 26.685)",FALSE
722038-99999,US,FL,NAPLES MUNI,2,19431229,19971231,"c(-81.775, 26.153)",FALSE
722051-12841,US,OK,ATOKA MUNI,32.9,19410616,19900206,"c(-81.333, 28.545)",FALSE
722106-12835,US,FL,PAGE FIELD AIRPORT,4.6,19430101,20250501,"c(-81.861, 26.585)",FALSE
722110-12842,US,FL,TAMPA INTERNATIONAL AIRPORT,5.8,19400801,20250501,"c(-82.54, 27.963)",FALSE
722119-99999,US,FL,LAKELAND LINDER RGN,43,19420801,19971231,"c(-82.017, 27.983)",FALSE
722120-12833,US,FL,CROSS CITY AIRPORT,11.6,19431219,20250501,"c(-83.105, 29.633)",FALSE
722130-13861,US,GA,WAYCROSS-WARE CO. AIRPORT,43.3,19421201,20250501,"c(-82.4, 31.25)",FALSE
722138-13835,US,MS,BAY SAINT LOUIS,7,19420501,19890214,"c(-89.45, 30.367)",FALSE
722140-93805,US,FL,TALLAHASSEE REGIONAL AIRPORT,16.8,19420501,20250501,"c(-84.351, 30.394)",FALSE
722146-12816,US,FL,GAINESVILLE RGNL,37.5,19431101,19971231,"c(-82.276, 29.692)",FALSE
722165-13815,US,MS,OLIVE BRANCH,66.1,19411013,19740415,"c(-89.783, 34.983)",FALSE
722167-99999,US,VA,ORANGE CO,142,19420401,20051231,"c(-78.05, 38.25)",FALSE
722170-03813,US,GA,MIDDLE GEORGIA REGIONAL AIRPORT,104.5,19411020,20250501,"c(-83.653, 32.689)",FALSE
722175-13860,US,GA,ROBINS AFB AIRPORT,89.6,19420807,20250501,"c(-83.6, 32.633)",FALSE
722210-13858,US,FL,EGLIN AFB AIRPORT,20.1,19380910,20250501,"c(-86.517, 30.483)",FALSE
722235-13838,US,AL,MOBILE DOWNTOWN AIRPORT,7.9,19420701,20250501,"c(-88.063, 30.615)",FALSE
722250-13829,US,GA,LAWSON AAF AIRPORT,70.7,19390501,20250501,"c(-84.991, 32.337)",FALSE
722265-13821,US,AL,MAXWELL AFB AIRPORT,53,19351001,20250430,"c(-86.35, 32.383)",FALSE
722266-13850,US,AL,CRAIG FLD,50,19410701,19770831,"c(-86.983, 32.35)",FALSE
722268-93843,US,AL,DOTHAN RGNL,122,19411216,19971231,"c(-85.45, 31.317)",FALSE
722280-13876,US,AL,BIRMINGHAM INTERNATIONAL AIRPORT,187.5,19420801,20250501,"c(-86.745, 33.565)",FALSE
722315-53917,US,LA,LAKEFRONT AIRPORT,2.7,19420901,20250501,"c(-90.029, 30.049)",TRUE
722317-13970,US,LA,BATON ROUGE METRO R,19.5,19420101,19971231,"c(-91.147, 30.537)",FALSE
722340-13865,US,MS,KEY FIELD AIRPORT,89.6,19420301,20250501,"c(-88.751, 32.335)",FALSE
722346-99999,US,MI,OWOSSO COMMUNITY,224,19430324,20041231,"c(-84.133, 42.983)",FALSE
722347-99999,US,MS,HATTIESBURG MUNI,46,19420820,20041231,"c(-89.25, 31.267)",FALSE
