year,iter,SDI,L2_return,L1_return,L2_insolvent,L1_insolvent,yearly_premium,claims,wind,fire,hail,hurricane
1955,1,43325.63713339485,0.6372664300939235,0.009693626146112466,0,0,14.201917078289318,0,0,0,0,0
1956,1,43325.63713339485,0.5424889648274345,0.29356934493257625,0,0,14.240826440147645,0,0,0,0,0
1957,1,43325.63713339485,0.6103802057641261,0.37235783203060246,0,0,14.201917078289318,0,0,0,0,0
1958,1,43325.63713339485,0.5860745866156505,0.3759918075368447,0,0,14.201917078289318,1,0,0,0,1
1959,1,43325.63713339485,-0.21964559301804099,-0.49587534681383905,0,0,14.201917078289318,13,0,0,0,13
1960,1,43325.63713339485,0.2450084749460324,0.3802426357228015,0,0,14.240826440147645,5,0,0,0,5
1961,1,43325.63713339485,-0.5410841112086489,0.3723941483072788,0,0,14.201917078289318,18,0,0,0,18
1962,1,43325.63713339485,0.6160859649941155,0.3765131670011348,0,0,14.201917078289318,0,0,0,0,0
1963,1,43325.63713339485,0.6019936808104607,0.37795073470600093,0,0,14.201917078289318,0,0,0,0,0
1964,1,43325.63713339485,0.5997758757516924,-0.19708111410903562,0,0,14.240826440147645,0,0,0,0,0
1965,1,43325.63713339485,0.548716692632518,-0.3795766338343174,0,0,14.201917078289318,0,0,0,0,0
1966,1,43325.63713339485,0.4340011642861976,0.2072068974967316,0,0,14.201917078289318,1,0,0,0,1
1967,1,43325.63713339485,0.5073235572946138,0.17316890652949835,0,0,14.201917078289318,2,0,0,0,2
1968,1,43325.63713339485,0.14715278639422658,-0.05239563420629956,0,0,14.240826440147645,7,0,0,0,7
1969,1,43325.63713339485,0.217050925062237,-0.06832567228392972,0,0,14.201917078289318,6,0,0,0,6
1970,1,43325.63713339485,0.5307938956385314,-0.24926691104675802,0,0,14.201917078289318,0,0,0,0,0
1971,1,43325.63713339485,0.6026595041138645,0.2725001410641634,0,0,14.201917078289318,0,0,0,0,0
1972,1,43325.63713339485,0.630655258383285,0.3740199240141848,0,0,14.240826440147645,0,0,0,0,0
1973,1,43325.63713339485,0.6193557224182806,0.3728574924161414,0,0,14.201917078289318,0,0,0,0,0
1974,1,43325.63713339485,0.5970479927857326,0.3743820540600582,0,0,14.201917078289318,0,0,0,0,0
1975,1,43325.63713339485,0.5688934723314176,0.38000961970392666,0,0,14.201917078289318,0,0,0,0,0
1976,1,43325.63713339485,0.634994653340804,0.3742241014558587,0,0,14.240826440147645,0,0,0,0,0
1977,1,43325.63713339485,0.5728014899697809,-0.029397243375659965,0,0,14.201917078289318,0,0,0,0,0
1978,1,43325.63713339485,0.6377470945071226,0.238916369436454,0,0,14.201917078289318,0,0,0,0,0
1979,1,43325.63713339485,-0.8655517510532402,0.3022577902210897,1,0,14.201917078289318,24,0,0,0,24
1980,1,43325.63713339485,0.623037015562155,-0.36888658285276443,0,0,14.240826440147645,0,0,0,0,0
1981,1,43325.63713339485,0.6140031941766213,0.08961478053096239,0,0,14.201917078289318,1,1,0,0,0
1982,1,43325.63713339485,0.5372136736918134,0.3779128082844645,0,0,14.201917078289318,0,0,0,0,0
1983,1,43325.63713339485,0.5628429279114828,0.3778482139020458,0,0,14.201917078289318,0,0,0,0,0
1984,1,43325.63713339485,0.7235167388559995,-0.32769714990032006,0,0,14.240826440147645,0,0,0,0,0
1985,1,43325.63713339485,0.5973828041845748,0.37925991357623245,0,0,14.201917078289318,1,0,0,0,1
1986,1,43325.63713339485,0.5985780481249314,0.37645524316478896,0,0,14.201917078289318,0,0,0,0,0
1987,1,43325.63713339485,0.6201557097397492,0.3719443814080652,0,0,14.201917078289318,1,0,0,1,0
1988,1,43325.63713339485,0.2533526695898125,-0.31558772835732796,0,0,14.240826440147645,6,0,0,0,6
1989,1,43325.63713339485,-0.6070882298209413,0.07193523241835731,0,0,14.201917078289318,18,0,0,0,18
1990,1,43325.63713339485,0.5962525907294884,0.3778308101471626,0,0,14.201917078289318,0,0,0,0,0
1991,1,43325.63713339485,0.32174265776080024,-0.17128379218461498,0,0,14.201917078289318,4,4,0,0,0
1992,1,43325.63713339485,0.5380012254195199,-0.6920168212725364,0,0,14.240826440147645,0,0,0,0,0
1993,1,43325.63713339485,0.5989997447016107,-0.31356190700677744,0,0,14.201917078289318,0,0,0,0,0
1994,1,43325.63713339485,0.41493562165421594,0.09046982101479806,0,0,14.201917078289318,2,0,0,0,2
1995,1,43325.63713339485,-0.8929959814310453,0.23447576261074055,1,0,14.201917078289318,26,1,0,0,25
1996,1,43325.63713339485,-0.43969661291301865,0.1370064901894692,0,0,14.240826440147645,16,0,0,0,16
1997,1,43325.63713339485,0.6605168069678564,0.07908956127419486,0,0,14.201917078289318,0,0,0,0,0
1998,1,43325.63713339485,-0.025905855506560882,0.3782822325548756,0,0,14.201917078289318,10,10,0,0,0
1999,1,43325.63713339485,-0.6232875292840496,0.3783054789371607,0,0,14.201917078289318,19,0,0,0,19
2000,1,43325.63713339485,0.26384768558262706,0.3731209187174449,0,0,14.240826440147645,5,0,0,1,4
2001,1,43325.63713339485,0.6767224901816811,-0.5760652248743487,0,0,14.201917078289318,0,0,0,0,0
2002,1,43325.63713339485,0.12598361035374572,-0.05312572250287062,0,0,14.201917078289318,7,0,6,1,0
2003,1,43325.63713339485,-0.5509567586632564,0.3736439668349276,0,0,14.201917078289318,18,0,0,0,18
2004,1,43325.63713339485,-0.5479803100504901,0.37759704425915386,0,0,14.240826440147645,18,0,0,0,18
2005,1,43325.63713339485,0.11780224543399487,0.3781664149398636,0,0,14.201917078289318,8,0,0,0,8
2006,1,43325.63713339485,-0.11804329520598111,0.38031569660720166,0,0,14.201917078289318,11,0,0,0,11
2007,1,43325.63713339485,0.16704608877262506,-0.30801487747628575,0,0,14.201917078289318,7,0,0,0,7
2008,1,43325.63713339485,-0.6714737075074464,-0.09870441018418208,0,0,14.240826440147645,19,0,1,0,18
2009,1,43325.63713339485,0.5835202914482644,0.3785186966340901,0,0,14.201917078289318,0,0,0,0,0
2010,1,43325.63713339485,0.430488679093987,0.04839893254704797,0,0,14.201917078289318,2,0,0,0,2
2011,1,43325.63713339485,0.2061913118684069,0.37622662806966267,0,0,14.201917078289318,5,0,0,0,5
2012,1,43325.63713339485,0.566536034990903,0.2226006256277464,0,0,14.240826440147645,2,0,0,0,2
2013,1,43325.63713339485,0.6074154539235788,-0.34198748877019225,0,0,14.201917078289318,1,0,0,0,1
2014,1,43325.63713339485,0.6446160024639382,-0.03839615474933977,0,0,14.201917078289318,0,0,0,0,0
