case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac,tiv,inverter_oem,racking_type,racking_oem,max_title_angle,module_oem,acrage,age,voltage,hail_claim_severity_multiple,storm_claim_severity_multiple,hurricane_claim_severity_multiple,fire_claim_severity_multiple,HAIL_1.0,HAIL_1.5,HAIL_2.0,HAIL_2.5,FIRE,HURRICANE,GUST_34,GUST_40,GUST_45,GUST_50,GUST_60,GUST_64,hail_expected_claim,fire_expected_claim,hurricane_expected_claim,storm_expected_claim,hail_technical_premium,fire_technical_premium,hurricane_technical_premium,storm_technical_premium,commercial_premium
405765,Donaghy-Stockton,2021,CA,San Joaquin,37.909523,-121.195145,1.1,1320000,1,single,2,74,3,5.5,4,1500,0.05617343108279282,0.4168522328175303,0.4168522328175303,0.4168522328175303,1.1742142549610553e-4,0,0,0,1.9570237582684257e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.0158882456164632,0.2917965629722712,0.08337044656350606,0.04373608714048438,1.8656204489173587e-6,5.710528063178034e-5,3.263158893244591e-6,1.5555745466798235e-6,0.8
402951,USS Kost Trail Solar (CSG),2019,MN,Chisago,45.486141,-92.875916,1,1200000,2,single,3,72,4,5,6,600,0.26341342247606053,0.9047864354490608,0.9047864354490608,0.9047864354490608,7.045285529766332e-4,3.1312380132294805e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.09911978925327312,0.6333505048143425,0.18095728708981215,0.0943816142003044,6.983272169395735e-5,8.924270293677377e-5,7.082754201331253e-6,2.922287084759067e-6,0.4
406051,Skalbeck Solar,2022,MN,Renville,44.786617,-95.365753,1,1200000,2,single,2,68,4,5,3,1000,0.12316351694578152,0.6284432658908861,0.6284432658908861,0.6284432658908861,0.00168304043211084,9.393714039688442e-4,1.9570237582684257e-4,1.5656190066147e-4,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.05122491404639702,0.4399102861236202,0.1256886531781772,0.06555523772707164,8.621360147148898e-5,6.198587146444215e-5,4.9195136082890605e-6,2.029751516450689e-6,0.4
403121,"Pecan Grove Solar, LLC",2019,NC,Craven,35.065002,-77.184959,5,6000000,4,single,2,74,1,25,6,1000,0.05761881613869421,0.4595466178142064,0.4595466178142064,0.4595466178142064,0.00152647853144937,6.653880778112646e-4,7.828095033073701e-5,7.828095033073701e-5,1.1742142549610553e-4,0.00293553563740263,7.694083249980765e-5,0,0,0,0,0,0.02335969961389467,0.3216826324699445,0.09190932356284127,0.04868691725952381,3.5658079961716396e-5,3.777243326196068e-5,2.698030947282906e-4,3.746011945797015e-6,0.4
400182,Masser Farms Realty Solar,2011,PA,Schuylkill,40.640553,-76.605217,1,1200000,3,single,2,71,4,5,14,600,0.13190081840761894,0.7493539976367629,0.7493539976367629,0.7493539976367629,3.522642764883166e-4,1.5656190066147e-4,3.9140475165368506e-5,3.9140475165368506e-5,2.7398332615757956e-4,9.785118791342127e-4,0,0,0,0,0,0,0.0533650501195875,0.5245477983457341,0.14987079952735258,0.07626939975026928,1.879860077013924e-5,1.4371735051939952e-4,1.4665035767285665e-4,8.602070710803627e-7,0.5
405054,Haleon York RDC Solar Facility,2010,PA,York,40.044201,-76.735092,2.6,3120000,4,dual,2,75,2,13,15,600,0.091374111884753,0.6866692107108413,0.6866692107108413,0.6866692107108413,0.0016047594817801,4.305452268190536e-4,7.828095033073701e-5,7.828095033073701e-5,3.9140475165368506e-5,0.00101765235429958,0,0,0,0,0,0,0.03519912774086801,0.48066844749758886,0.13733384214216826,0.06988932959999158,5.648613399254721e-5,1.8813591432055617e-5,1.3975810778098458e-4,7.882492285481321e-7,0.5
403488,O'Neill Creek Solar,2019,OR,Washington,45.471661,-123.13974,2.2,2640000,1,single,2,71,4,11,6,1000,0.10492431063064968,0.5960952522476329,0.5960952522476329,0.5960952522476329,1.9570237582684257e-4,0,0,0,0.00238756898508747,0,0,0,0,0,0,0,0.02967707662330246,0.41726667657334304,0,0.06988409037266073,5.807874402775541e-6,9.96252975497042e-4,0,2.850271240075239e-7,0.35
406625,Grossmont College,2023,CA,San Diego,32.813816,-117.005409,2.6,3120000,3,single,2,62,4,13,2,1000,0.13831622814660754,0.5693063740082596,0.5693063740082596,0.5693063740082596,8.219499784727387e-4,7.828095033073701e-5,0,0,0.00414889036752906,1.9570237582684257e-4,7.218835385287291e-5,7.218835385287292e-6,0,0,0,0,0.04201449671153296,0.3985144618057817,0.11386127480165192,0.05997723256458494,3.453381466758747e-5,0.00165339281190703,2.228292199335628e-5,4.32965768748831e-6,0.8
404306,Van Buren,2021,NC,Sampson,34.983681,-78.528793,2,2400000,1,dual,3,65,2,10,4,1500,0.1743574385158447,0.5342729700622137,0.5342729700622137,0.5342729700622137,0.00180046185760695,7.045285529766332e-4,7.828095033073701e-5,3.9140475165368506e-5,1.1742142549610553e-4,0.00230928803475674,0,0,0,0,0,0,0.06502245361216011,0.3739910790435496,0.10685459401244277,0.055966900251905,1.1707044761671162e-4,4.3914565624120275e-5,2.4675803541172344e-4,0,0.4
400472,Lenoir Farm,2013,NC,Lenoir,35.331657,-77.666344,5,6000000,1,single,2,66,2,25,12,600,0.11857528977277935,0.7101411126851688,0.7101411126851688,0.7101411126851688,7.045285529766332e-4,2.7398332615757956e-4,0,0,1.1742142549610553e-4,0.00227014755959137,0,0,0,0,0,0,0.0417859315945461,0.4970987788796181,0.14202822253703376,0.07438968288775608,2.943938192108614e-5,5.8370047228418115e-5,3.224250227855477e-4,0,0.4
402801,Springfield Solar PV,2019,MA,Hampden,42.132656,-72.55439,4,4800000,3,single,2,63,3,20,6,600,0.13391723498237437,0.6702199169249503,0.6702199169249503,0.6702199169249503,7.436690281420016e-4,2.7398332615757956e-4,3.9140475165368506e-5,3.9140475165368506e-5,7.828095033073701e-5,0.00125249520529179,2.0256446614134947e-5,0,0,0,0,0,0.04912322617868316,0.4691539418474652,0.13404398338499007,0.07042352490947354,3.653142187150104e-5,3.6725816419230904e-5,1.6788944648791273e-4,1.4265303727079534e-6,0.5
400509,CU Solar Plant,2013,OH,Greene,39.742439,-83.81678,1.8,2160000,1,single,2,74,2,9,12,600,0.08553897836707133,0.6822276269135621,0.6822276269135621,0.6822276269135621,0.00109593330463031,2.7398332615757956e-4,1.1742142549610553e-4,3.9140475165368506e-5,0,4.696857019844221e-4,1.0146447052457132e-4,0,0,0,0,0,0.03129367337130151,0,0.13644552538271243,0.07298548278347301,3.429577887183226e-5,0,6.408651237201257e-5,7.405433366605304e-6,0.4
404016,Carver,2017,MA,Plymouth,41.914341,-70.801315,1.5,1800000,2,single,2,61,2,7.5,8,1000,0.1223656557312635,0.6127040695996514,0.6127040695996514,0.6127040695996514,7.436690281420016e-4,1.9570237582684257e-4,3.9140475165368506e-5,0,4.5663887692929925e-5,0.00176132138244158,2.7243502424671715e-5,0,0,0,0,0,0.04111409263481472,0.428892848719756,0.12254081391993028,0.06374573140114774,3.05752773126729e-5,1.958491487623972e-5,2.1583375577896837e-4,1.7366569879896402e-6,0.5
402625,Dayton Cutoff Solar,2017,OR,Yamhill,45.169609,-123.136261,2.2,2640000,1,single,2,69,3,11,8,600,0.11255972264213576,0.6983529247972767,0.6983529247972767,0.6983529247972767,3.901816118047673e-4,1.1864456534502328e-4,1.1008258640259892e-5,3.6694195467532977e-6,0.00238756898508747,0,0,0,0,0,0,0,0.03799220996079708,0.4888470473580937,0,0.08187241673964972,1.482386171852894e-5,0.00116715604872377,0,3.339223470522127e-7,0.35
402631,Freedom Solar,2017,SC,Dillon,34.287556,-79.149666,5,6000000,2,fixed,1,31,2,25,8,1000,0.694018904221565,0.7193216767713096,0.7193216767713096,0.7193216767713096,6.653880778112646e-4,1.1742142549610553e-4,0,0,1.1742142549610553e-4,0.00199616423343379,2.9122385705837024e-5,0,0,0,0,0,0.2168263522392725,0.5035251737399167,0.14386433535426194,0.07489649701393013,1.442736697353177e-4,5.912464367371521e-5,2.8717684070090255e-4,2.181164674055744e-6,0.4
400711,North Bay Solar 1,2013,CA,Solano,38.301003,-121.965195,1,1200000,1,single,2,67,3,5,12,600,0.12709429117393042,0.7340308112818107,0.7340308112818107,0.7340308112818107,0,0,0,0,3.9140475165368506e-5,3.9140475165368506e-5,2.3933751376190704e-5,0,0,0,0,0,0.04113768408760024,0.5138215678972674,0.14680616225636214,0.0778959369178748,7.412235347216008e-6,2.0111220317713703e-5,5.746062947918202e-6,1.8643419874078504e-6,0.8
405585,510 Carnegie Center,2019,NJ,Mercer,40.315289,-74.655602,1.4,1680000,3,single,2,74,2,7,6,1000,0.06264445732412477,0.4996292950346678,0.4996292950346678,0.4996292950346678,5.479666523151591e-4,2.3484285099221105e-4,0,0,2.3484285099221105e-4,0.00129163568045716,0,0,0,0,0,0,0.02255717696491176,0.3497405065242674,0.09992585900693356,0.05434008706563963,1.236058074714332e-5,8.213405765961895e-5,1.2906780489368695e-4,1.0464506059474588e-6,0.5
401674,"Kennedy Solar, LLC",2017,NC,Duplin,35.00901,-78.082512,4.9,5880000,1,single,2,66,3,24.5,8,600,0.12722407886887815,0.708933851142307,0.708933851142307,0.708933851142307,0.001487338056284,7.828095033073702e-4,1.9570237582684257e-4,1.1742142549610553e-4,1.1742142549610553e-4,0.00250499041058358,0,0,0,0,0,0,0.05426467271002624,0.49625369579961487,0.1417867702284614,0.07426321815880031,8.070991283341803e-5,5.8270816368501496e-5,3.5517449976991386e-4,0,0.4
403164,Steel Sun 2: 2303-III-2 Hamburg Turnpike,2019,NY,Erie,42.809059,-78.853569,2,2400000,1,dual,2,68,4,10,6,1000,0.14231270430589418,0.6601383775265717,0.6601383775265717,0.6601383775265717,0.00117421425496105,3.522642764883166e-4,3.9140475165368506e-5,0,7.597856943865652e-5,5.871071274805276e-4,0,0,0,0,0,0,0.0480889450692543,0.46209686426860014,0.13202767550531433,0.07026956109581897,5.646672480635754e-5,3.510945868921727e-5,7.75143893138563e-5,2.1942662619925577e-6,0.5
402630,Interstate Solar,2017,OR,Marion,45.129635,-122.89959,2.2,2640000,1,fixed,1,32,4,11,8,600,1.071189490947365,0.9126407089181032,0.9126407089181032,0.9126407089181032,1.1742142549610553e-4,3.9140475165368506e-5,0,0,3.9140475165368506e-5,0,0,0,0,0,0,0,0.3718342493493392,0.6388484962426721,0,0.10699475551821112,4.366130760687376e-5,2.5004833701619323e-5,0,4.363855533730224e-7,0.35
402081,Elizabethtown Solar,2016,PA,Lancaster,40.152706,-76.581337,2,2400000,4,single,2,73,3,10,9,1000,0.07111399215571841,0.5091601343439561,0.5091601343439561,0.5091601343439561,0.00183960233277231,7.436690281420016e-4,1.5656190066147e-4,3.9140475165368506e-5,2.7398332615757956e-4,0.00105679282946494,0,0,0,0,0,0,0.02688102598347249,0.3564120940407693,0.10183202686879124,0.05182242030555473,4.945039810650934e-5,9.7650971008078e-5,1.0761535580482066e-4,5.844809652796483e-7,0.5
401330,CNE at Cambridge MD,2015,MD,Dorchester,38.517181,-76.020607,3.2,3840000,2,single,2,64,3,16,10,1000,0.12330384065548776,0.6396012557235716,0.6396012557235716,0.6396012557235716,5.088261771497906e-4,2.7398332615757956e-4,7.828095033073701e-5,3.9140475165368506e-5,8.69788337008189e-5,0.00176132138244158,0,0,0,0,0,0,0.05089103370510343,0.4477208790065001,0.12792025114471434,0.06708900587592916,2.589469013136893e-5,3.894223987949083e-5,2.2530867358848273e-4,2.029402600720818e-6,0.4
405366,Gavilan Community College Solar Project,2018,CA,Santa Clara,36.975792,-121.56958,1.4,1680000,2,single,2,65,4,7,7,600,0.177023387829194,0.8112582007200886,0.8112582007200886,0.8112582007200886,3.9140475165368506e-5,0,0,0,3.9140475165368506e-5,3.9140475165368506e-5,0,0,0,0,0,0,0.0500697751850557,0.567880740504062,0.16225164014401772,0.08511711481141966,1.9597547921662567e-6,2.2227122020590317e-5,6.3506062915972335e-6,3.027385985906059e-6,0.8
406643,"Suffolk CSG, LLC",2024,VA,Suffolk,36.685413,-76.762428,3.8,4560000,3,single,2,75,2,19,1,1500,0.04453495858676017,0.36814435351688274,0.36814435351688274,0.36814435351688274,4.305452268190536e-4,7.828095033073701e-5,0,0,1.7830660908667875e-4,0.00227014755959137,0,0,0,0,0,0,0.01415786618852709,0.2577010474618179,0.07362887070337655,0.0410333551233424,6.095601709413209e-6,4.594979993100201e-5,1.6714840114273903e-4,6.165716200399555e-7,0.35
402068,"Cotten Farm, LLC",2016,NC,Lee,35.525787,-79.201569,4.9,5880000,4,single,2,63,3,24.5,9,1000,0.10696525457066693,0.5353324689062174,0.5353324689062174,0.5353324689062174,7.436690281420016e-4,1.9570237582684257e-4,3.9140475165368506e-5,0,1.1742142549610553e-4,0.00176132138244158,0,0,0,0,0,0,0.03606444909369145,0.37473272823435216,0.1070664937812435,0.05607788633849751,2.682001380798221e-5,4.400165112932234e-5,1.8857850483995297e-4,0,0.4
402344,Taylors Falls (CSG),2018,MN,Chisago,45.39156,-92.685059,5,6000000,1,single,2,62,4,25,7,1000,0.1530228903936937,0.6298386533354424,0.6298386533354424,0.6298386533354424,7.045285529766332e-4,3.1312380132294805e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.05758095583807271,0.4408870573348097,0.1259677306670885,0.06570079574418172,4.0567427495608784e-5,6.212350410604387e-5,4.930436833813006e-6,2.034258350934164e-6,0.4
403459,Linden 02 (CSG),2020,MN,Scott,44.592907,-93.846634,1,1200000,1,single,2,65,3,5,5,1000,0.10525850335745192,0.5659026685311328,0.5659026685311328,0.5659026685311328,9.785118791342127e-4,5.088261771497906e-4,1.5656190066147e-4,1.1742142549610553e-4,1.4090571059532662e-4,3.9140475165368506e-5,3.09624613810604e-5,4.038581919268747e-6,0,0,0,0,0.0470597968411167,0.39613186797179295,0.11318053370622656,0.05903139707186198,4.604857023867539e-5,5.581724234601959e-5,4.4299398687317136e-6,1.8277573521075685e-6,0.4
406338,BEMS East Solar,2023,NJ,Burlington,39.893703,-74.697464,4,4800000,3,single,2,75,4,20,2,1500,0.06332179305855369,0.41514530738821287,0.41514530738821287,0.41514530738821287,7.045285529766332e-4,1.9570237582684257e-4,0,0,3.1312380132294805e-4,0.001487338056284,0,0,0,0,0,0,0.02103580446466958,0.290601715171749,0.08302906147764258,0.0451515400969471,1.482032488019306e-5,9.099431372554668e-5,1.2349228291324194e-4,8.695027749373576e-7,0.5
405965,Webster Solar,2017,MA,Worcester,42.0247,-71.858192,1,1200000,1,single,2,67,2,5,8,600,0.10939058190047544,0.6790194928441059,0.6790194928441059,0.6790194928441059,0.00172218090727621,6.262476026458961e-4,1.1742142549610553e-4,0,3.9140475165368506e-5,0.001487338056284,0,0,0,0,0,0,0.0393832446841017,0.4753136449908741,0.1358038985688212,0.07110764674652505,6.78250720615474e-5,1.860400191752609e-5,2.019863065331404e-4,1.2827356084834553e-6,0.5
405660,Van der Hoek Solar Array/ Dairy,2017,CA,Fresno,36.504601,-120.091835,2.4,2880000,3,single,2,66,3,12,8,600,0.12086287492543424,0.6734871585851917,0.6734871585851917,0.6734871585851917,3.1312380132294805e-4,3.9140475165368506e-5,0,0,5.088261771497906e-4,7.828095033073701e-5,0,0,0,0,0,0,0.03709858499876715,0.47144101100963415,0.13469743171703835,0.07066219330717338,1.1616449958516468e-5,2.398815273836645e-4,1.054424296191932e-5,2.513263451486504e-6,0.8
400622,Town of East Bridgewater (CSG),2013,MA,Plymouth,42.046021,-70.961906,2,2400000,4,single,2,74,4,10,12,600,0.10837705511556124,0.6855394115102298,0.6855394115102298,0.6855394115102298,7.436690281420016e-4,1.9570237582684257e-4,3.9140475165368506e-5,0,4.5663887692929925e-5,0.00176132138244158,2.7243502424671715e-5,0,0,0,0,0,0.0364140105888484,0.4798775880571608,0.13710788230204596,0.07132352037352432,2.7079971865361448e-5,2.1913076287396283e-5,2.414910447998774e-4,1.943102500232233e-6,0.5
404948,Rafterville Solar,2022,MN,Meeker,45.137867,-94.735809,1,1200000,1,single,2,65,4,5,3,1000,0.13010218935765488,0.5962289465947563,0.5962289465947563,0.5962289465947563,9.785118791342127e-4,5.479666523151591e-4,7.828095033073701e-5,3.9140475165368506e-5,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.05556439599791019,0.4173602626163294,0.11924578931895129,0.06219484312298618,5.437042154087263e-5,5.880844437820603e-5,4.667336855413177e-6,1.9257054282965698e-6,0.4
404093,Las Virgenes,2020,CA,Los Angeles,34.131489,-118.701241,3,3600000,3,dual,2,61,3,15,5,1500,0.1099590925376169,0.46571006315016145,0.46571006315016145,0.46571006315016145,5.088261771497906e-4,1.5656190066147e-4,0,0,6.262476026458961e-4,1.5656190066147e-4,1.7479417985322284e-5,0,0,0,0,0,0.03678215862505724,0.325997044205113,0.0931420126300323,0.04786256199302708,1.8715725160505076e-5,2.0415486740310023e-4,1.4582490528792876e-5,8.366097269245204e-7,0.8
403708,"Houston/Winona Community Solar One, LLC",2020,MN,Winona,43.865841,-91.327072,1,1200000,2,dual,2,60,3,5,5,1500,0.1290090230430374,0.527172459741521,0.527172459741521,0.527172459741521,9.785118791342127e-4,3.522642764883166e-4,3.9140475165368506e-5,0,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.04551927920420876,0.3690207218190647,0.10543449194830422,0.05499130597338731,4.454115543094521e-5,5.199712703231566e-5,4.126756113675847e-6,1.7026661874950809e-6,0.4
404505,"RE McKenzie 2, LLC",2012,CA,Sacramento,38.306492,-121.294922,5,6000000,2,single,2,63,3,25,13,600,0.16171349475020735,0.8093327571420685,0.8093327571420685,0.8093327571420685,0,0,0,0,2.7398332615757956e-4,3.9140475165368506e-5,1.8843392564397295e-5,0,0,0,0,0,0.05234317449106947,0.5665329299994479,0.16186655142841372,0.08337746064077592,9.431253527107174e-6,1.5522057653904794e-4,6.335533736287671e-6,1.5711142218767252e-6,0.8
400443,Mass Midstate Solar 3,2014,MA,Worcester,42.220779,-71.883949,4,4800000,1,dual,2,66,3,20,11,600,0.1572949148192209,0.7968166426535673,0.7968166426535673,0.7968166426535673,0.00172218090727621,6.262476026458961e-4,1.1742142549610553e-4,0,3.9140475165368506e-5,0.001487338056284,0,0,0,0,0,0,0.05662995854182749,0.557771649857497,0.15936332853071347,0.08344349012756588,9.752703338057888e-5,2.183144740919398e-5,2.370271432998204e-4,1.5052661841603856e-6,0.5
402382,"Fox (CSG), LLC",2018,MN,Chisago,45.387974,-92.679863,5,6000000,2,dual,2,73,3,25,7,600,0.12153786314387852,0.7910760641962876,0.7910760641962876,0.7910760641962876,7.045285529766332e-4,3.1312380132294805e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.04573346061060812,0.5537532449374013,0.15821521283925755,0.08252006547491259,3.222052882660559e-5,7.802699447237248e-5,6.192618608918453e-6,2.5550243404295565e-6,0.4
402831,"Panda Solar NC 2, LLC",2019,NC,Robeson,34.438923,-79.084457,2,2400000,4,single,2,73,4,10,6,1000,0.08702842020948605,0.5311342818958165,0.5311342818958165,0.5311342818958165,0.00164389995694547,6.653880778112646e-4,1.9570237582684257e-4,7.828095033073701e-5,7.828095033073701e-5,0.00219186660926063,0,0,0,0,0,0,0.03851598815592903,0.3717939973270715,0.10622685637916328,0.05563811205303704,6.331643127124425e-5,2.9104387438026656e-5,2.3283509950421325e-4,0,0.4
401490,Palmer Landfill,2016,MA,Hampden,42.218094,-72.313431,4,4800000,2,single,2,71,3,20,9,1000,0.09173897039764026,0.6114338793330507,0.6114338793330507,0.6114338793330507,7.436690281420016e-4,2.7398332615757956e-4,3.9140475165368506e-5,3.9140475165368506e-5,7.828095033073701e-5,0.00125249520529179,2.0256446614134947e-5,0,0,0,0,0,0.03365148774790586,0.4280037155331355,0.12228677586661016,0.06424656734951793,2.5025569189017623e-5,3.3504537597020275e-5,1.5316360044352126e-4,1.3014071616569354e-6,0.5
404563,Washington St Community Solar Farm #1,2020,NY,Monroe,43.17424,-77.84697,2.2,2640000,1,single,2,65,2,11,5,1500,0.07337542204208464,0.4239837640993711,0.4239837640993711,0.4239837640993711,8.610904536381071e-4,3.914047516536851e-4,0,0,7.597856943865652e-5,6.653880778112646e-4,4.7248930992936286e-5,0,0,0,0,0,0.02660662284877827,0.29678863486955975,0.08479675281987423,0.04530854300245465,2.2910708938632512e-5,2.254957590304092e-5,5.642274836345304e-5,2.140780221713466e-6,0.5
403607,Star Garden,2020,MN,Pope,45.650158,-95.533127,1,1200000,1,single,2,69,4,5,5,1000,0.11272293410367852,0.5961398136987068,0.5961398136987068,0.5961398136987068,0.001487338056284,3.914047516536851e-4,2.3484285099221105e-4,1.1742142549610553e-4,1.4090571059532662e-4,3.9140475165368506e-5,0,0,0,0,0,0,0.06684997866088122,0.4172978695890947,0.11922796273974136,0.06218554534145686,9.942851732410216e-5,5.8799652844367335e-5,4.6666391146323285e-6,1.925417546095038e-6,0.4
405345,"IRE Solar I, LLC",2017,NY,St. Lawrence,44.344433,-75.444298,1,1200000,1,single,2,64,3,5,8,1000,0.112966605487173,0.5859799852163766,0.5859799852163766,0.5859799852163766,0.00121335473012642,3.914047516536851e-4,7.828095033073701e-5,0,7.597856943865652e-5,5.871071274805276e-4,2.2689628570780297e-5,0,0,0,0,0,0.03978268897053688,0.4101859896514636,0.11719599704327532,0.06405950159788187,4.8270513839549235e-5,3.1165344697497776e-5,6.880660517629378e-5,1.4534862976852468e-6,0.5
402266,SR Kersey,2017,CO,Weld,40.385834,-104.549599,3.5,4200000,4,single,2,64,2,17.5,8,600,0.11127785430956572,0.6203767440111548,0.6203767440111548,0.6203767440111548,0.01189870445027202,0.0058319307996399,0.00129163568045716,5.479666523151591e-4,3.9140475165368506e-5,3.9140475165368506e-5,3.287851389117212e-4,4.109814236396515e-5,0,0,0,0,0.04505457170032081,0.43426372080780834,0.12407534880223098,0.06441660642738835,5.360910327957073e-4,1.6997288379498544e-5,4.856368108428156e-6,2.117922289245055e-5,0.35
402779,First Baptist Church of Glenarden,2018,MD,Prince George's,38.879505,-76.773529,1.6,1920000,2,single,3,69,1,8,7,1000,0.1697074091513157,0.6601210807849046,0.6601210807849046,0.6601210807849046,0.00125249520529179,3.914047516536851e-4,3.9140475165368506e-5,0,8.69788337008189e-5,0.00121335473012642,2.754365669586294e-5,0,0,0,0,0,0.05858726005819281,0.4620847565494332,0.13202421615698093,0.06949987902385338,7.338026231406983e-5,4.019159319559654e-5,1.6019220716530623e-4,1.9142808082370234e-6,0.4
402267,Golden Hills Solar,2017,MA,Worcester,42.360176,-71.962944,4.7,5640000,4,single,2,70,1,23.5,8,1000,0.06920255772046918,0.4782775531011836,0.4782775531011836,0.4782775531011836,0.00172218090727621,6.262476026458961e-4,1.1742142549610553e-4,0,3.9140475165368506e-5,0.001487338056284,0,0,0,0,0,0,0.02491458785684605,0.3347942871708285,0.09565551062023672,0.0500857363464813,4.290742751971608e-5,1.3104007482517065e-5,1.4227208123875e-4,9.035140442456742e-7,0.5
