case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac,tiv,inverter_oem,racking_type,racking_oem,max_title_angle,module_oem,acrage,age,voltage,hail_claim_severity_multiple,storm_claim_severity_multiple,hurricane_claim_severity_multiple,fire_claim_severity_multiple,HAIL_1.0,HAIL_1.5,HAIL_2.0,HAIL_2.5,FIRE,HURRICANE,GUST_34,GUST_40,GUST_45,GUST_50,GUST_60,GUST_64,hail_expected_claim,fire_expected_claim,hurricane_expected_claim,storm_expected_claim,hail_technical_premium,fire_technical_premium,hurricane_technical_premium,storm_technical_premium,commercial_premium
401476,"River Bend Solar, LLC",2016,AL,Lauderdale,34.833809,-87.838394,75,90000000,2,single,2,33,2,375,9,600,0.4081211029768505,0.8701670777828533,0.8701670777828533,0.8701670777828533,0.0016047594817801087,5.479666523151591e-4,3.9140475165368506e-5,3.9140475165368506e-5,3.9140475165368506e-5,8.219499784727387e-4,2.132869220990846e-5,0,0,0,0,0,0.3021805142825911,0.6091169544479973,0.17403341555657068,0.09109339158445395,4.849270455041776e-4,2.3841127028376737e-5,1.4304676217026044e-4,1.9429029114614836e-6,0.4
401865,Fort Rucker Solar Array,2017,AL,Dale,31.331732,-85.729469,10.6,12720000,2,dual,3,62,1,53,8,1000,0.21664074405540282,0.7533069452359349,0.7533069452359349,0.7533069452359349,7.436690281420016e-4,3.1312380132294805e-4,0,0,1.3046825055122835e-4,0.0015656190066147403,3.626539012493427e-5,0,0,0,0,0,0.16268504636008163,0.5273148616651544,0.15066138904718698,0.08008667304393807,1.2098383031983839e-4,6.879784749111568e-5,2.358783342552538e-4,2.904374441746471e-6,0.4
401866,ANAD Solar Array,2017,AL,Calhoun,33.626301,-85.94059,7.4,8880000,1,dual,2,34,4,37,8,1000,0.34441797424337744,0.7985332119147245,0.7985332119147245,0.7985332119147245,0.0013699166307878977,4.696857019844221e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.3046825055122835e-4,0.0012133547301264238,4.179728317659352e-5,0,0,0,0,0,0.25674250455249603,0.5589732483403071,0.1597066423829449,0.08226085919522472,3.5171582681660184e-4,7.292826181589719e-5,1.937808099679554e-4,3.4382804261326946e-6,0.4
402674,Redstone Arsenal Hybrid,2017,AL,Madison,34.611221,-86.624329,10,12000000,1,single,2,47,1,50,8,1000,0.19982985086701904,0.5963574267354698,0.5963574267354698,0.5963574267354698,0.002544130885748953,8.610904536381071e-4,1.1742142549610553e-4,3.9140475165368506e-5,1.3046825055122835e-4,9.785118791342127e-4,0,0,0,0,0,0,0.1488139376219961,0.4174501987148288,0.11927148534709396,0.06242964366834831,3.7860213493403835e-4,5.4463997118586345e-5,1.1670856525411364e-4,1.3315426545764614e-6,0.4
401807,Lafayette Solar Farm,2017,AL,Chambers,32.872425,-85.390289,79.2,95040000,2,fixed,3,59,3,396,8,1000,0.6824373452039045,0.6818757739967486,0.6818757739967486,0.6818757739967486,7.045285529766332e-4,3.522642764883166e-4,0,0,1.3046825055122835e-4,0.0012916356804571608,2.132869220990846e-5,0,0,0,0,0,0.5276214873913122,0.477313041797724,0.13637515479934972,0.07138212704036459,3.717244030311801e-4,6.227419752863438e-5,1.7614701586670872e-4,1.52248741693252e-6,0.4
402688,"Cumblerland Land Holdings, LLC",2018,AL,Limestone,34.950031,-86.867363,15.9,19080000,2,fixed,2,39,4,79.5,7,1000,0.7991587724586772,0.6875266630309224,0.6875266630309224,0.6875266630309224,0.0016047594817801087,8.610904536381071e-4,1.9570237582684254e-4,7.828095033073701e-5,1.3046825055122835e-4,9.002309288034757e-4,2.2494657518839275e-4,0,0,0,0,0,0.6373779105752915,0.4812686641216456,0.13750533260618447,0.07200220186777095,0.0010228382454728932,6.279028065307782e-5,1.237865532874963e-4,1.6196648716178373e-5,0.4
403007,Muscle Shoals,2021,AL,Colbert,34.763344,-87.919693,227,272400000,3,single,2,32,3,1135,4,1500,0.2793309476901244,0.4888057950474552,0.4888057950474552,0.4888057950474552,0.0012916356804571608,3.914047516536851e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.1742142549610553e-4,7.828095033073702e-4,0,0,0,0,0,0,0.2063128929372534,0.34216405653321863,0.09776115900949105,0.05117060715565214,2.6648109385609466e-4,4.017739127166057e-5,7.652836432697252e-5,1.0914021302170437e-6,0.4
401345,Fort Benning Solar Facility,2015,AL,Russell,32.303879,-84.990349,30,36000000,2,dual,2,64,4,150,10,1000,0.14484116285858403,0.7499148112986649,0.7499148112986649,0.7499148112986649,0.0011742142549610551,5.871071274805276e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.3046825055122835e-4,0.0014481975811186348,2.132869220990846e-5,0,0,0,0,0,0.11382023126495074,0.5249403679090654,0.14998296225973298,0.07850478983262366,1.3364933805426913e-4,6.848805144481393e-5,2.172049631535528e-4,1.6744044993435808e-6,0.4
404620,Black Bear Solar 1,2020,AL,Montgomery,32.200626,-86.330238,100,120000000,1,single,3,56,3,500,5,1000,0.36010423165793304,0.6906862412784113,0.6906862412784113,0.6906862412784113,0.0018396023327723198,9.785118791342127e-4,1.1742142549610553e-4,1.1742142549610553e-4,1.3046825055122835e-4,0.0012916356804571608,0,0,0,0,0,0,0.28984554054115286,0.4834803688948879,0.13813724825568227,0.07230445031209241,5.332005325231588e-4,6.307883790557855e-5,1.7842299864720792e-4,1.5421593661132386e-6,0.4
404683,OE_ALD,2020,AL,Covington,31.015305,-86.590851,80,96000000,3,fixed,1,60,2,400,5,1500,0.35186894469213065,0.4171788024969659,0.4171788024969659,0.4171788024969659,0.0013307761556225293,8.219499784727387e-4,3.9140475165368506e-5,0,1.3046825055122835e-4,0.0016047594817801087,0,0,0,0,0,0,0.279503784326814,0.29202516174787607,0.08343576049939318,0.04367233947004485,3.719569715883861e-4,3.810001197018488e-5,1.3389432778093547e-4,9.314738866432232e-7,0.4
401400,SR Camden,2015,AR,Calhoun,33.637222,-92.703407,12.5,15000000,1,single,1,75,2,62.5,10,600,0.17510641528639112,0.7393790246914728,0.7393790246914728,0.7393790246914728,7.045285529766332e-4,3.1312380132294805e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.1742142549610553e-4,5.088261771497906e-4,7.880695540917035e-5,1.3907109778088884e-5,4.635703259362962e-6,0,0,0,0.1360325329589387,0.5175653172840309,0.14787580493829455,0.0787404660221266,9.583880360330724e-5,6.077325734283505e-5,7.524308051970054e-5,6.205296394703024e-6,0.35
402231,Stuttgart Solar,2018,AR,Arkansas,34.440144,-91.441673,81,97200000,1,single,1,33,4,405,7,1000,0.7472013395192854,0.8093147559452902,0.8093147559452902,0.8093147559452902,0.0016047594817801087,7.045285529766332e-4,1.1742142549610553e-4,7.828095033073701e-5,4.6446697196237297e-4,5.871071274805276e-4,7.880695540917035e-5,1.3907109778088884e-5,4.635703259362962e-6,0,0,0,0.5822867688373904,0.5665203291617031,0.16186295118905805,0.08618829979428648,9.344302134069045e-4,2.631299818408631e-4,9.503089231812872e-5,6.79223749868054e-6,0.35
